,ID,text,target,re_text
32,ynat-v1_train_00078,대구·경북 고용유지지원금 신청 폭주...2월~3월 7천550건,3,"대구·경북, 고용 유지 지원금 신청 7천 건 초과"
33,ynat-v1_train_00080,태블릿PC 조작설 변희재 1심 징역 2년...악의적 공격 반복종합,3,"변희재, 태블릿PC 조작 사건 1심 징역 2년"
34,ynat-v1_train_00081,한산한 성산일출봉 주차장,0,여유로운 성산일출봉 주차장
35,ynat-v1_train_00085,네이버 모바일 연예판에도 AI 콘텐츠 추천 시스템 적용,4,"네이버, 모바일 연예뉴스도 AI 기반 맞춤 추천 시스템 도입"
36,ynat-v1_train_00088,증시 신상품 국채선물 인버스 ETF 3종,5,"국채선물 반전, 증시 신상품 ETF 3종 등장"
37,ynat-v1_train_00093,문재인 대통령 호주 총리와 축구 평가전 1대1 무승부 축하,1,"문재인 대통령, 호주 총리와 축구 평가전 1대1 무승부 맞아 축하"
38,ynat-v1_train_00095,흥국운용 2천350억원 중순위 인수금융펀드 1호 결성 완료,5,"흥국운용, 2천350억원 중순위 인수금융펀드 첫지정 완료"
39,ynat-v1_train_00099,北 무수단 발사 대기권 재진입 기술 확보 여부가 관건,6,"북한, 무수단 재진입 기술 숙달 시도"
40,ynat-v1_train_00100,"北, 서방에 백두산 연구 먼저 제의...과학외교 활발",2,"북한, 백두산 연구 주도 제안… 과학 분야 외교 강화"
41,ynat-v1_train_00102,코스피 미국발 악재에 또 급락...2360대로 털썩,5,"코스피, 미국 시장 악재에 다시 한번 폭락…2360대로 하락"
42,ynat-v1_train_00104,"승리에도 침통했던 박기원 감독, 엔진을 끈 것 같다",1,"승리 상쾌함 없는 박기원 감독, '엔진' 고장 탓?"
43,ynat-v1_train_00106,프로축구 2부 부천 FC와 안산 무궁화와의 경기 1-1 무승부,1,"부천 FC, 안산 무궁화와 1-1 동점"
44,ynat-v1_train_00111,세아트 드라이빙 시뮬레이터,4,세아트 실제 운전 시뮬레이션
45,ynat-v1_train_00115,최병륜 울산MBC 사장,3,울산MBC 새 사장 최병륜
46,ynat-v1_train_00117,어촌으로 봄 여행 떠나볼까...해수부 체험 마을 20곳 추천,0,"어촌 여행, 해수부 체험 마을 20곳에서 특별한 추억"
47,ynat-v1_train_00118,러 우주로켓 벼락 맞고도 멀쩡...탑재 위성 정상궤도 올려,6,"러 우주로켓 사고, 탑재 위성은 정상 활동"
48,ynat-v1_train_00119,"게시판, 인터넷신문위원회 언론분쟁 대처 교육",3,"언론 분쟁 대비, 게시판·인터넷신문위원회 교육"
49,ynat-v1_train_00134,코오롱플라스틱 1분기 연결 영업익 58억원...138% 증가,5,"코오롱플라스틱, 1분기 연결 영업익 58억원 기록… 전년 동기 대비 138% 상승"
50,ynat-v1_train_00137,2017 올해의연극 베스트3 오른 옥상 밭 고추는 왜 재공연,0,"2017 올해의 연극 베스트3 '옥상 밭', 고추 재공연 이유는?"
51,ynat-v1_train_00140,무등산에서 광주지역 올해 첫 얼음 관찰,0,"무등산, 올해 첫번째 얼음 출현"
52,ynat-v1_train_00142,박근혜 대통령이 여당 TK 국회의원과 110분 면담...사드 민심 청취,2,"박근혜 대통령, TK 국회의원과 면담…사드 논란 민심 수렴"
53,ynat-v1_train_00143,지소미아 종료까지 8일...美 압박 속 고민 깊어지는 문재인 대통령,2,"지소미아 해결 임박, 문재인 대통령 미 압박에 고민"
54,ynat-v1_train_00144,호텔서 스타 셰프 음식 만난다...더플라자 레스토랑 4곳 오픈,0,"더플라자, 스타셰프 음식 체험 매력 UP…레스토랑 4곳 오픈"
55,ynat-v1_train_00145,우리은행 박혜진 연봉 3억원으로 2년 연속 연봉 퀸,1,"우리은행 박혜진, 또다시 연봉 3억원으로 사상 최고 연봉"
56,ynat-v1_train_00148,시리보다 내가 낫다...빅스비의 세로드립 도발종합,4,"세로 드립, 빅스비가 시리에 도전"
57,ynat-v1_train_00150,11월 소비자 지갑을 열어라...유통업계 할인 경쟁 격화,5,"11월, 소비자 유혹할 땐 '할인'  유통업계 공격적인 가격 경쟁"
58,ynat-v1_train_00151,한국형 발사체 75t 엔진 첫 연소시험 성공,4,"한국형 로켓 75톤급 엔진, 첫 연소 시험 통해 성공"
59,ynat-v1_train_00153,힐만 감독 산체스 15∼16일 불펜에서 대기,1,"힐만, 산체스 15~16일 불펜 활용"
60,ynat-v1_train_00156,GS칼텍스 IBK기업은행과 세터 이나연↔이고은 트레이드,1,"GS칼텍스, IBK기업은행과 '세터 이나연↔이고은' 트레이드"
61,ynat-v1_train_00160,KT와 안랩이 통합 정보보호 및 정보보안 서비스 개발을 위한 업무협약을 체결,4,"KT, 안랩과 정보보호·정보보안 서비스 개발 협력"
62,ynat-v1_train_00162,北당대회 나흘만에 일부 외신 취재 허용...김정은 위원장 취임 발표,2,"북당대회, 김정은 위원장 취임 발표와 함께 일부 외신 취재 허용"
63,ynat-v1_train_00164,日도쿄 주택가 공원 연못서 토막 시신 발견,6,"도쿄 주택가, 연못에서 여성 유체 발견"
64,ynat-v1_train_00165,홍콩 시위 참여 여성 경찰서에서 알몸 수색 강요당해,6,"홍콩 시위 관련 여성경찰, 알몸 수색 논란"
65,ynat-v1_train_00166,삼성 세계 최초 후면 쿼드카메라 탑재 갤럭시 A9 공개,4,"삼성, 갤럭시 A9로 세계 최초 후면 사 Quad 카메라 선보임"
66,ynat-v1_train_00167,손흥민 아시안게임 대표팀 합류 시점은...31일 소집 참가 어려워,1,"손흥민, 아시안게임 대표팀 합류 지연… 31일 소집 불가"
67,ynat-v1_train_00171,美 이란 상대 국적자 체포 갈등...구금 중 학대 서로 비방,6,"美, 이란 상대 국적자 체포 갈등 속 학대 논란에 불타"
68,ynat-v1_train_00173,홍남기 미래창조과학부 1차관 서울혁신센터 등 방문,3,"홍남기, 미래창조과학부 1차관으로 서울혁신센터 방문"
69,ynat-v1_train_00175,북한 사이버 공격 집단 세계 은행들 상대 1천억 탈취종합,6,"북한 사이버 공격, 세계 은행 협회 1천억 벌취"
70,ynat-v1_train_00176,北발사체에 미일 당국자 통화...한미일 협력 확인,2,"북한 미사일 발사, 미·일·한 공동 대응"
71,ynat-v1_train_00182,포천아트밸리서 높이 45m 절벽 배경 야간 공중쇼,0,"포천아트밸리, 45m 절벽 아래 야간 공중무술쇼 열려"
72,ynat-v1_train_00183,탈북민 착한봉사단 연천군서 통일 염원 벽화 그린다,3,"탈북민 착한봉사단, 연천군에 통일 바램 담은 벽화 완성"
73,ynat-v1_train_00185,금융발전심의회 전체회의,3,"금융발전 심의, 전체회의 개최"
74,ynat-v1_train_00186,KB증권 농심 4분기 라면 부문 실적개선...목표주가 상향,5,"KB증권, 농심 라면 부문 개선 전망… 목표주가 상향 조정"
75,ynat-v1_train_00189,400년 전 일본 건너간 조선 첫 여성도공 백파선,0,"백파선, 400년 전 일본에 도공의 길 찾아"
76,ynat-v1_train_00191,MLB.com 다저스 3년 연속 WS 유력하지만 우승은 글쎄...,1,"다저스, 다시 한번 WS 진출 가능성 높지만 우승 여부는 미지수"
77,ynat-v1_train_00193,구글 3세대 크롬캐스트 출시...신세계아이앤씨 단독 판매종합,4,"구글, 3세대 크롬캐스트 발표… 신세계아이앤씨가 담당하는 단독 판매"
78,ynat-v1_train_00194,서울자유시민대학 초대 학장에 정재권 전 한겨레신문 논설위원,3,"정재권, 서울자유시민대학 초대 학장으로 선임"
79,ynat-v1_train_00195,웨이포트 6월 22일 상장폐지 신청 예정,5,"웨이포트, 이달 22일 장면에서 상장폐지 신청"
80,ynat-v1_train_00198,버닝썬 게이트 다룬 SBS '그것이 알고 싶다' 11.2%,3,"SBS '그것이 알고 싶다', 버닝썬 게이트 논란 집중적으로 다룸"
81,ynat-v1_train_00199,"현대차, 현대차증권 MMT 300억원 매수",5,"현대차, MMT 통해 현대차증권에 300억원 투자"
82,ynat-v1_train_00201,빛으로 작동하는 나노선 트랜지스터 개발 성공,4,"나노선 트랜지스터, 빛 에너지 활용 기술로 성능 향상"
83,ynat-v1_train_00207,故 문중원 기수 대책위 정부가 나서라...청 인근까지 상여 행진,3,"문중원 기수, 정부에 대책 요구...청 인근까지 상여 행진"
84,ynat-v1_train_00208,새누리당 갈등 폭발한 상임전국위·전국위는 어떤 기구,2,"상임전국위, 전국위 갈등 격화한 새누리당"
85,ynat-v1_train_00211,한국 남자농구도 월드컵 승전보...아시아 예선서 중국 제압,1,"남자농구, 아시아예선에서 중국 꺾고 월드컵 진출 목표 향해 나아감"
86,ynat-v1_train_00212,장애인 정책 발표하는 안철수,2,"안철수, 장애인 지원 정책 상세히 공개"
87,ynat-v1_train_00213,아시안게임 키르기스스탄전 앞둔 김학범 스스로 만든 가짜 뉴스 논란,1,"아시안게임, 김학범 키르기스스탄 선수단 가짜 뉴스 논란"
88,ynat-v1_train_00220,삼성 2분기 세계 스마트폰 점유율 1위 지켰다...중국 맹추격,5,"삼성, 세계 스마트폰 시장 2분기 점유율 1위 유지…중국 기업 공격 심화"
89,ynat-v1_train_00222,네덜란드 정부 보스니아 무슬림 학살사건에 10% 책임,6,"네덜란드 정부, 보스니아 무슬림 학살 관련 10% 책임 인정"
90,ynat-v1_train_00223,카카오미니 예판 38분 만에 마감...접속 몰려 에러 속출,4,"카카오미니, 예판 38분 만에 매진...접속 폭풍으로 에러 발생"
91,ynat-v1_train_00224,"민주, 누리과정예산 확보 대신 법인세 양보 모색",2,"민주당, 누리과정 예산보다 법인세 감면 추진"
92,ynat-v1_train_00226,후랭코프 5승 두산 20승 선착...SK·LG 맹추격,1,"후랭코프 5승, 두산 20승 고점... SK·LG 역대급 추격"
93,ynat-v1_train_00227,청년 디지털 일자리 등 3차 추경 사업 민간 채용률 겨우 11%,3,"3차 추경 사업, 청년 디지털 일자리 채용률 부진한 11% 기록"
94,ynat-v1_train_00229,보령소식 보령시 시간선택제 공무원 3명 모집,3,"시간선택제로 공무원 채용, 보령소식 보령시 3명 모집"
95,ynat-v1_train_00230,류현진 FA 랭킹 7위...막판 부진으로 온갖 의문 낳아,1,"류현진, FA 시장에서 7위...막판 감소에 대한 의문"
96,ynat-v1_train_00232,충북 가마솥더위 지속...주말도 더워요,0,"충청북도, 주말까지 가마솥더위"
97,ynat-v1_train_00234,억만장자 베니 스타인메츠가 아프리카 광산에서 뇌물 혐의로 기소돼,6,"베니 스타인메츠, 아프리카 광산 뇌물 의혹으로 기소"
98,ynat-v1_train_00235,신간 답이 보이지 않는 상황을 견디는 힘,0,무기력함에 희망을 찾다
99,ynat-v1_train_00240,벼락같은 중거리포로 러시아를 향한 길을 열어젖힌 이창민,1,"이창민, 중거리포 탄착으로 러시아 상대로 우위 확보"
100,ynat-v1_train_00242,"배구 남녀 대표팀 임도헌 감독과 라바리니 감독, 보령서 짧은 상견례",1,"배구 대표팀 임도헌·라바리니 감독, 보령서 간단 만남"
101,ynat-v1_train_00251,삼성·애플·LG·구글 스마트폰 가을대전 임박,4,스마트폰 가을 맞이 삼성·애플·LG·구글 격돌
102,ynat-v1_train_00252,트럼프 드론 격추에 대한 이란 보복공격 승인했다 돌연 철회종합2보,6,"이란, 트럼프 드론 격추에 대한 보복공격 철회"
103,ynat-v1_train_00253,폴란드서 이란 겨냥 미국 주도 60여 개국 중동 문제 회의 시작,6,"이란 대상, 미국 주도 중동 문제 논의 폴란드서 개최"
104,ynat-v1_train_00254,네이버 인공지능으로 식당 예약 전화 받는 AI 콜 공개,4,"네이버, AI 콜로 식당 예약 수월하게"
105,ynat-v1_train_00255,봄비 머금은 꽃망울,0,나른한 햇살 아래 피어나는 꽃
106,ynat-v1_train_00259,KT 인공지능 기술로 목소리 찾아드려요...목소리 찾기 프로젝트,4,"KT, 인공지능으로 목소리 추적…'목소리 찾기 프로젝트'"
107,ynat-v1_train_00260,아이폰 11 프로 써보니...프로다운 카메라 성능 기대 이상,4,"아이폰 11 프로 카메라, 프로답게 만족스러운 성능 발휘"
108,ynat-v1_train_00262,국립민속박물관 아카이브 만들기 특별전 개최,0,"국립민속박물관, 아카이브 전시로 역사 엿보다"
109,ynat-v1_train_00263,임도헌 감독 젊은 선수들 자신감 얻었다...내년 1월 진짜 승부,1,"임도헌 감독, 내년 1월 '진짜 승부'에 젊은 선수들 의지 부여"
110,ynat-v1_train_00265,39광년 떨어진 곳에서 지구 크기 삼형제 발견,4,"지구와 유사한 크기의 행성 세 개, 39광년 거리에서 발견"
111,ynat-v1_train_00267,NC 출신 왕웨이중 ML 복귀...에인절스전 2이닝 무실점,1,"왕웨이중, NC서 에인절스 전에서 복귀하여 2이닝 무실점"
112,ynat-v1_train_00269,차범근과 손흥민을 관통하는 공통점...25와 8 그리고 아홉수,1,"차범근, 손흥민의 비밀 코드… 25, 8, 아홉수 이야기"
113,ynat-v1_train_00270,신년사에서 손학규 대표가 다당제와 합의제를 통해 희망을 드리는 정치를 실천하겠다고 밝혔다.,2,"손학규 대표, 신년사서 다당제·합의제를 통한 희망 정치 약속"
114,ynat-v1_train_00271,노벨평화상 소식에 아프리카 환호...각국 정상 환영 잇따라,6,"노벨평화상 수상 소식, 아프리카에서 열광적 환영"
115,ynat-v1_train_00272,野가 전한 설 민심...정권교체 해달라 자만말라 쓴소리도,2,"野가 전한 설, 정권교체 반대 시민들의 목소리"
116,ynat-v1_train_00273,위안부 피해자 그림 선생님이 전하는 이야기,0,"위안부, 그림 선생님의 삶 속 이야기"
117,ynat-v1_train_00275,그래픽 내년 코스피 전망치,5,"2024년 코스피, 그래픽 전망"
118,ynat-v1_train_00277,NHN엔터테인먼트 2분기 영업익 149억원...50% 증가,5,"NHN엔터테인먼트, 2분기 영업익 149억원 달성...전년 동기 대비 50% 증가"
119,ynat-v1_train_00279,최지만 시즌 첫 3루타...종아리 통증으로 교체,1,"최지만, 시즌 첫 3루타 달성 후 종아리 통증"
120,ynat-v1_train_00281,춘천 MBC '나이야가라' 한국방송대상 작품상 수상,0,"춘천 MBC 드라마 '나이야가라', 한국방송대상 작품상 받다"
121,ynat-v1_train_00282,콘테 첼시 감독 캉테 AS로마전 출전여부 본인이 결정할 것,1,"첼시, 캉테 AS로마전 출전은 감독 최종 결정"
122,ynat-v1_train_00283,부산국제코미디페스티벌에 참여합니다,0,"부산국제코미디 페스티벌, 내년에도 즐거움 선사"
123,ynat-v1_train_00285,드랙퀸 연극 조지 맥브라이드의 전설 내달 초연,0,"조지 맥브라이드, 드랙퀸 연극 '전설' 내달 첫 무대"
124,ynat-v1_train_00286,"이스라엘 역사 녹아 있는 희비극, 말 한 마리...",6,"이스라엘, 시간 속에 사라지는 역사와 기억"
125,ynat-v1_train_00288,게시판 제38회 한국출판학회상에 천재교육 등 선정,0,"천재교육 등, 한국출판학회상 수상"
126,ynat-v1_train_00289,이인제 충청을 젊은 희망의 땅으로 만들 것 충남지사 출마 선언,2,"이인제, 충청도 젊은 세대를 위한 희망 공약"
127,ynat-v1_train_00292,네이버뮤직 바이브로 통합...기존 서비스 내년 종료,4,"네이버, 뮤직 바이브로 통합… 다음 해 기존 서비스 단종"
128,ynat-v1_train_00293,문재인 대통령 안타까움 금할 수 없어...사망자 최소화 만전 기하라,2,"문재인 대통령, 사망자 최소화 위해 만전 기세"
129,ynat-v1_train_00294,"스페인 11회 연속 월드컵 본선 진출...이탈리아 탈락, 플레이오프행종합",1,"스페인, 월드컵 본선 통과...이탈리아는 플레이오프행"
130,ynat-v1_train_00295,유럽 최악 한파에 난민들 피해 속출...폐렴·저체온증 극심,6,"유럽 치열 한파, 난민 피해 심각…폐렴·저체온증 증가"
131,ynat-v1_train_00300,김정은 탑승 추정 北 열차 단둥 통과...60여시간 여정 개시,2,"김정은, 북한 열차로 단둥 통과…60여시간 긴 여정 시작"
132,ynat-v1_train_00301,아시안게임 응원석엔 하나된 함성 벤치엔 우정의 미소...,1,"아시아게임, 응원석은 함성, 벤치는 우정"
133,ynat-v1_train_00302,문재인 대통령 미중러 협력·아세안 동행...비핵화 동력 보전했다,2,"문재인 대통령, 미중러·아세안 협력 통해 비핵화 목표 추진"
134,ynat-v1_train_00304,평양정상회담 남북 정상 오찬장도 함께,2,"남북 정상, 평양 회담에서 오찬"
135,ynat-v1_train_00306,KT 연말연시 맞아 네트워크 특별대책 마련,4,"KT, 연말연시 대비 네트워크 안정 강화 전략 수립"
136,ynat-v1_train_00308,"네이버, '전문자료 검색 내년 안에 구글 따라잡을 것'",4,"네이버, 전문 자료 검색 기능 2024년 구글에 도전"
137,ynat-v1_train_00309,민주 광역단체장 후보 면접...지방선거 당내 경쟁 개막,2,"민주당, 지방선거 광역단체장 후보 면접 시작… 치열한 당내 경쟁"
138,ynat-v1_train_00310,SK텔레콤 충청 지역 폭우 피해 통신망 복구,0,"SK텔레콤, 충청지역 폭우로부터 통신망 복구"
139,ynat-v1_train_00311,경제 윤종원 일자리 정태호 청와대 수석 교체...민생·고용 드라이브 종합2보,2,"윤종원 경제팀장, 정태호 수석 맡아 민생·고용 부진 개선에 총력"
140,ynat-v1_train_00312,박근혜 대통령 한불 비즈니스포럼·K콘 참석...파리서 경제·문화 외교,2,"박근혜 대통령, 한불 비즈니스포럼·K콘 참석..경제·문화 외교 활발 추진"
141,ynat-v1_train_00314,외국인에게 말만 하세요 한컴 이어폰형 통역기 MWC서 첫선,4,"한컴, MWC에서 외국인과 대화를 위한 이어폰형 통역기 선보임"
142,ynat-v1_train_00315,이라크 프랑스인 IS 조직원 가차없이 사형선고,6,"IS 조직원, 이라크 프랑스인 가차 없이 사형"
143,ynat-v1_train_00316,아힘 프라이어가 소개하는 반지 4부작,0,"아힘 프라이어, 반지 이야기 4부작 선보여"
144,ynat-v1_train_00318,프로농구 인삼공사 컬페퍼 햄스트링 부상...교체할 듯,1,"인삼공사, 컬페퍼 햄스트링으로 교체 임박"
145,ynat-v1_train_00319,"김현미 전 국토교통부 장관, 전월세상한제 신규 계약 적용 고려할 점 많아 신중론",5,"김현미 전 장관, 전월세상한제 신규 계약 적용 '신중' 조율"
146,ynat-v1_train_00321,청와대 추미애 긴급회동 제안에 정해진 바 없다,2,"추미애, 청와대 긴급회동 제안…정당성 논란"
147,ynat-v1_train_00322,필리핀 국방장관 몰래 군부대에 中 통신 시설 설치 허용...재검토,6,"필리핀, 중국 통신 시설 설치 논란에 군부대 재점검"
148,ynat-v1_train_00326,지구 임계온도 1.5도 목표 촉구 1인 시위,6,"지구 온난화, 1.5도 임계점 초과 우려에 단독 시위"
149,ynat-v1_train_00328,버려진 튜브로 만든 설치미술,0,쓰레기 타UBE로 완성된 설치미술
150,ynat-v1_train_00330,KT 베가 폰 2 단독 출시,4,"베가 폰2, KT 독점 공개"
151,ynat-v1_train_00331,섬들의 근대화는 달랐다...일제가 쓰고 버린 태평양 섬 이야기,0,"태평양 섬, 일제 유산 속에 들여다보며"
152,ynat-v1_train_00332,과학전람회 대통령상에 충북과학고생 최경준·손승연,3,"충북과학고생, 과학전람회 대통령상 수상"
153,ynat-v1_train_00333,무선 장비로 침입자 막는다... KT텔레캅 새 보안 서비스 출시,4,"KT텔레캅, 무선 장비 이용한 차단형 보안 서비스 공개"
154,ynat-v1_train_00336,닷새째 경찰에 포위된 홍콩 이공대,6,"홍콩 이공대, 닷새 만료 경찰 포위 상황 지속"
155,ynat-v1_train_00337,與 대구·경북 공천 면접심사...현역 vs 진박 격돌,2,"대구·경북, 與 공천 면접서 현역·진박 대결"
156,ynat-v1_train_00338,강원CBS 사옥·선교센터 8일 착공...11월 완공,3,"강원CBS 신사옥·선교센터, 8일 착공...11월 준공"
157,ynat-v1_train_00342,모범 도서관장서에 2만 4천 91권 소장한 이종근 씨 등,3,"이종근 도서관장, 2만 4천 91권 소장"
158,ynat-v1_train_00343,정의선 현대차그룹 회장 된다...3세 경영 본격화종합,5,"정의선, 현대차그룹 회장 취임… 3세 경영 시대 시작"
159,ynat-v1_train_00344,우리금융연구소에 따르면 대중부유층 10명 중 4명이 노후 준비가 부족하다고 생각하고 있다,5,"대중부유층 노후준비, 4명 중 1명 미흡"
160,ynat-v1_train_00346,긴급재난지원금 중 기부금은 2천782억원...지급액의 2%,5,"긴급재난지원금, 기부금 2천782억 투입…총 지급액의 2% 차지"
161,ynat-v1_train_00349,주터키한국문화원 개원 8주년 행사 개최,0,"주터키서 한국문화원, 개원 8주년 맞이 행사 열다"
162,ynat-v1_train_00352,프로농구 MVP 후보 두경민 많은 것을 배운 시즌,1,"두경민, 프로농구 MVP  역량 발전"
163,ynat-v1_train_00353,베스트셀러 가벼운 에세이류 강세 계속,0,"에세이류 베스트셀러, 경향 지속"
164,ynat-v1_train_00355,이달의 편집상에 매일신문 공부까지 거리두면... 등 4편,0,"매일신문 공부, 이달 편집상까지 거리두는 방법"
165,ynat-v1_train_00357,주말에 여행 가세요. 강원권 남한강축제에서 무더위를 날리자...속초는 피서철 이벤트,0,"남한강축제, 강원권에서 뜨겁게 활짝 펼쳐지다"
166,ynat-v1_train_00359,홍영표 홍문종·염동열 체포동의안 부결에 사과하고 책임 통감,2,"홍영표, 홍문종·염동열 체포동의안 부결에 대한 사과와 책임 인정"
167,ynat-v1_train_00360,폭증한 신용대출도 가상화폐 시장으로 갔나,5,"가상화폐 시장, 신용대출 증가에 영향받아?"
168,ynat-v1_train_00361,삼성전자 주주총회...퍼스트무버로 거듭나겠다종합,5,"삼성전자, 퍼스트무버 전략으로 주주총회 공개"
169,ynat-v1_train_00363,KAIST 온도따라 변하는 스마트 입자 개발,4,"온도 감지 스마트 입자, KAIST에서 개발"
170,ynat-v1_train_00365,지각 입장한 남북 선수단 그 사연은,1,"남북 선수단, 지각 이유 대방출"
171,ynat-v1_train_00366,스마트폰에 신용카드 대면 삑 소리와 함께 새 본인 인증 나온다,4,"신용카드 대면 인증, 스마트폰에 새 본인 확인 기능 도입"
172,ynat-v1_train_00371,고교생 체육신인 1순위 펄츠 복귀...필라델피아,1,"펄츠, 필라델피아서 고교 체육신 복귀"
173,ynat-v1_train_00372,영상 최강 한파 패딩·목도리 중무장...전국 강추위에 꽁꽁,0,"한파 대비, 영상 패딩·목도리 무장...전국 강추위"
174,ynat-v1_train_00373,120개 언어 중 인도 힌디어 국어 지정 놓고 찬반 논란,6,"인도 힌디어, 국어로 지정되면서 120개 언어 사회 논란"
175,ynat-v1_train_00374,터키군 시리아 진격...에르도안 평화의 샘 작전 개시 선언종합,6,"터키, 시리아 진격… 에르도안 '평화의 샘' 작전 시작"
176,ynat-v1_train_00375,충북 한여름 무더위...날씨는 맑음,0,"충북, 아름다운 하늘 아래 더위 지고"
177,ynat-v1_train_00377,SKT 부산 엑스포서 해양안전 통신기술 시연,4,"SKT, 부산 엑스포에서 해양안전통신 기술 선보임"
