,Unnamed: 0,ID,target,text,re_text
28,70,ynat-v1_train_00070,4,모바일 컴퓨팅 미래는 서울서 국제학회 모비시스 개막,"국제 학회 '모비시스', 서울서 모바일 컴퓨팅 미래 열다"
29,71,ynat-v1_train_00071,2,영상 냄새가 나는데 퇴근길 마주친 수상한 차 따라가봤더니,"오늘 퇴근길, 이상한 차량에 냄새 기준 맞춰 추적"
30,72,ynat-v1_train_00072,6,獨 反이스라엘 테러 팔레스타인인 강연 차단 비자도 취소,"이스라엘, 테러 우려에 팔레스타인 강연 차단…비자 취소"
31,73,ynat-v1_train_00073,1,대한항공 인천 바르셀로나 노선 첫 취항,"인천-바르셀로나 노선, 대한항공이 첫 항공편 운영"
32,78,ynat-v1_train_00078,3,대구 경북 고용유지지원금 신청 폭주 월 천 건,"대구, 경북 지역 월 10천 건 고용유지지원금 신청 접수폭 주"
33,80,ynat-v1_train_00080,2,태블릿 조작설 변희재 심 징역 년 악의적 공격 반복종합,"태블릿 조작, 변희재 심 징역 년 선고 악의적 공격 반복"
34,81,ynat-v1_train_00081,0,한산한 성산일출봉 주차장,침척한 성산일출봉 주차장
35,85,ynat-v1_train_00085,4,네이버 모바일 연예판에도 콘텐츠 추천 시스템 적용,"연예뉴스, 네이버 모바일 앱에서도 콘텐츠 추천 시스템 도입"
36,88,ynat-v1_train_00088,5,증시신상품 국채선물 인버스 종,"국채선물 인버스, 증시 신상품 등장"
37,93,ynat-v1_train_00093,1,문대통령 호주 총리와 축구 평가전 대 무승부 축하,"문 대통령, 호주 총리와 함께 축구 평가전 감상"
38,95,ynat-v1_train_00095,5,흥국운용 천 억원 중순위 인수금융펀드 호 결성 완료,"흥국운용, 천억원 중순위 인수금융펀드 최종 결성"
39,99,ynat-v1_train_00099,1,北 무수단 발사 대기권 재진입 기술 확보 여부가 관건,"북무수단, 대기권 재진입 기술 숙달 의 징후"
40,100,ynat-v1_train_00100,6,北 서방에 백두산 연구 먼저 제의 과학외교 활발,"백두산 연구, 북한이 서방과 과학 외교 채널 개척"
41,102,ynat-v1_train_00102,5,코스피 미국발 악재에 또 급락 대로 털썩,"미국 발 악재, 코스피 큰 주춤"
42,104,ynat-v1_train_00104,1,승리에도 침통했던 박기원 감독 엔진을 끈 것 같다,"박기원 감독, 승리에도 '엔진 꺼진'  감정"
43,106,ynat-v1_train_00106,1,프로축구 부 부천 안산과 무승부,"안산, 부천과 프로축구 대결 승부없이"
44,111,ynat-v1_train_00111,4,세아트 드라이빙 시뮬레이터,실감 나는 세아트 자동차 시뮬레이션
45,115,ynat-v1_train_00115,5,최병륜 울산 사장,울산 최병륜 회장
46,117,ynat-v1_train_00117,0,어촌으로 봄 여행 떠나볼까 해수부 체험 마을 곳 추천,"어촌에서 봄 여행,  해수부 체험 마을 추천"
47,118,ynat-v1_train_00118,6,러 우주로켓 벼락 맞고도 멀쩡 탑재 위성 정상궤도 올려,러 우주로켓 충돌 피해 딛고 위성 정상운행
48,119,ynat-v1_train_00119,3,게시판 인터넷신문위원회 언론분쟁 대처 교육,"인터넷신문위원회, 언론분쟁 해결 위한 교육 실시"
49,134,ynat-v1_train_00134,5,코오롱플라스틱 분기 연결 영업익 억원,"코오롱플라스틱, 분기 연결 영업익 증가"
50,137,ynat-v1_train_00137,0,올해의연극 베스트 오른 옥상 밭 고추는 왜 재공연,"2023 연극 베스트, 옥상 밭 고추 재공연 이유는?"
51,140,ynat-v1_train_00140,0,무등산에서 광주지역 올해 첫 얼음 관찰,"무등산, 올해 첫 눈 덮여 광주 지역서 얼음 발견"
52,142,ynat-v1_train_00142,2,朴대통령 與 국회의원과 분 면담 사드 민심 청취,"박정희 대통령, 국회의원들과 S.A.D 사건 민심 청취 면담"
53,143,ynat-v1_train_00143,2,지소미아 종료까지 일 美 압박 속 고민 깊어지는 文대통령,"지소미아 종료 임박, 문재인 대통령 美 압력 속 고민"
54,144,ynat-v1_train_00144,0,호텔서 스타 셰프 음식 만난다 더플라자 레스토랑 곳 오픈,"더플라자, 스타셰프 음식 선보이는 레스토랑 오픈"
55,145,ynat-v1_train_00145,1,우리은행 박혜진 연봉 억원으로 년 연속 연봉 퀸,"연년 연봉 1위, 우리은행 박혜진 총액 천원 돌파"
56,148,ynat-v1_train_00148,4,시리보다 내가 낫다 빅스비의 세로드립 도발종합,"세로 드라이브, 빅스비가 시리에 도전"
57,150,ynat-v1_train_00150,5,월 소비자 지갑을 열어라 유통업계 할인 경쟁 격화,"소비자 물가 상승에 맞춰 유통업계, 할인 경쟁 심화"
58,151,ynat-v1_train_00151,4,한국형 발사체 엔진 첫 연소시험 성공,"국산 발사체 엔진, 첫 연소 시험 통해 성공"
59,153,ynat-v1_train_00153,1,힐만 감독 산체스 일 불펜에서 대기,"힐만 감독, 산체스 일 불펜 활용"
60,156,ynat-v1_train_00156,1,칼텍스 기업은행과 세터 이나연 이고은 트레이드,"이 나 연, 칼텍스와 기업은행 세터 주도 트레이드"
61,160,ynat-v1_train_00160,4,안랩 통합 정보보안 서비스 개발 업무협약 체결,"안랩, 통합 정보보안 서비스 개발 위한 업무협약 체결"
62,162,ynat-v1_train_00162,6,北당대회 나흘만에 일부 외신 취재허용 김정은 위원장 취임 발표,"김정은 위원장, 북당대회서 취임발표… 일부 외신취재 허용"
63,164,ynat-v1_train_00164,6,日도쿄 주택가 공원 연못서 토막시신 발견,"일본 도쿄, 공원 연못에서 토막시신"
64,165,ynat-v1_train_00165,6,홍콩 시위 참여 여성 경찰서에서 알몸 수색 강요당해,"홍콩 시위, 여성 경찰서 알몸 수색 논란"
65,166,ynat-v1_train_00166,4,삼성 세계 최초 후면 쿼드카메라 탑재 갤럭시 공개,"삼성, 세계 최초 후면 쿼드카메라로 갤럭시 출시"
66,167,ynat-v1_train_00167,1,손흥민 대표팀 합류 시점은 일 소집 참가 어려워,"손흥민,  대표팀 합류에  일 소집 시점 지장"
67,171,ynat-v1_train_00171,6,美이란 상대 국적자 체포 갈등 구금 중 학대 서로 비방,"美-이란 상대 국적자 체포, 갈등 심화에 구금 학대 논란"
68,173,ynat-v1_train_00173,4,홍남기 미래부 차관 서울혁신센터 등 방문,"홍남기 미래부 차관, 서울혁신센터 현지 답사"
69,175,ynat-v1_train_00175,6,북한 사이버 공격 집단 세계 은행들 상대 천억 탈취종합,"북한 해커, 세계 은행 공격에 천억 달러 사기"
70,176,ynat-v1_train_00176,6,北발사체에 미일 당국자 통화 한미일 협력 확인,"북한 발사체, 미·일·한 강력 공동 대응 약속"
71,182,ynat-v1_train_00182,1,포천아트밸리서 높이 절벽 배경 야간 공중쇼,"밤하늘 아래 포천아트밸리, 절벽이라인 야간 공연"
72,183,ynat-v1_train_00183,3,탈북민 착한봉사단 연천서 통일염원 벽화 그린다,"착한봉사단, 탈북민들과 연천에 통일 벽화 완성"
73,185,ynat-v1_train_00185,5,금융발전심의회 전체회의,금융발전 심의위원회 총회
74,186,ynat-v1_train_00186,5,증권 농심 분기 라면 부문 실적개선 목표주가,"농심, 라면 부문 실적 개선에 중점"
75,189,ynat-v1_train_00189,0,년 전 일본 건너간 조선 첫 여성도공 백파선,"백파선, 역사적 도약… 조선 최초 일본 이주도공"
76,191,ynat-v1_train_00191,1,다저스 년 연속 유력하지만 우승은 글쎄,"다저스, 계속 강호지만 우승 목표는 여전히 미궁"
77,193,ynat-v1_train_00193,4,구글 세대 크롬캐스트 출시 신세계아이앤씨 단독 판매종합,"신세계아이앤씨, 구글 세대 크롬캐스트 독점 판매"
78,194,ynat-v1_train_00194,1,서울자유시민대학 초대 학장에 정재권 전 한겨레신문 논설위원,"정재권, 서울자유시민대학 초대 학장 취임"
79,195,ynat-v1_train_00195,5,웨이포트 월 일 상장폐지 신청 예정,"웨이포트, 일월 상장 폐지 추진"
80,198,ynat-v1_train_00198,6,버닝썬 게이트 다룬 그것이 알고 싶다,"버닝썬, 우리가 알아야 할 것"
81,199,ynat-v1_train_00199,5,현대차 현대차증권 억원 매수,"현대차, 현대차증권에 막대한 자금 투입"
82,201,ynat-v1_train_00201,4,빛으로 작동하는 나노선 트랜지스터 개발 성공,"광 에너지 활용 나노선 트랜지스터, 성능 향상"
83,207,ynat-v1_train_00207,3,故문중원 기수 대책위 정부가 나서라 靑 인근까지 상여 행진,"문중원 기수, 대책위 정부에 '상여' 촉구 청와대 인근 행진"
84,208,ynat-v1_train_00208,2,새누리 갈등 폭발한 상임 전국위 전국위는 어떤 기구,"새누리, 전국위 갈등 확산에 궁금증"
85,211,ynat-v1_train_00211,1,한국 남자농구도 월드컵 승전보 아시아 예선서 중국 제압,"한국 남농, 아시아예선서 중국 꺾고 월드컵 진출 노려"
86,212,ynat-v1_train_00212,6,장애인 정책 발표하는 안철수,"안철수, 장애인 지원 정책 공개"
87,213,ynat-v1_train_00213,1,아시안게임 키르기스스탄전 앞둔 김학범 스스로 만든 가,"김학범, 아시안게임 키르기스스탄 개막 앞두고 스트레스 해소"
88,220,ynat-v1_train_00220,1,삼성 분기 세계 스마트폰 점유율 위 지켰다 중국 맹추격,"삼성, 분기 세계 스마트폰 시장 점유율 선두 유지…중국 끈끈한 추격"
89,222,ynat-v1_train_00222,6,네덜란드 정부 보스니아 무슬림 학살사건에 책임,"네덜란드, 보스니아 무슬림 학살 사건 책임 지나"
90,223,ynat-v1_train_00223,4,카카오미니 예판 분 만에 마감 접속 몰려 에러 속출,"카카오 미니 예판, 분 만 매진에 접속 혼잡"
91,224,ynat-v1_train_00224,2,민주 누리과정예산 확보 대신 법인세 양보 모색,"법인세 감면 추진, 민주 누리과정예산 확보 어려움"
92,226,ynat-v1_train_00226,1,후랭코프 승 두산 승 선착 맹추격,"후랭코프, 두산 뒤에서 질리지 않고 추격"
93,227,ynat-v1_train_00227,3,청년 디지털 일자리 등 차 추경 사업 민간 채용률 겨우,"민간 채용률 부진, 청년 디지털 일자리 등 차 추경 사업  적극 해결 필요"
94,229,ynat-v1_train_00229,3,보령소식 보령시 시간선택제 공무원 명 모집,"시간선택제 공무원, 보령소식 보령시 모집"
95,230,ynat-v1_train_00230,1,류현진 랭킹 위 막판 부진으로 온갖 의문 낳아,"류현진, 막판 부진에 랭킹 위 자리 타협"
96,232,ynat-v1_train_00232,0,충북 가마솥더위 지속 주말도 더워요,"충북, 가마솥 더위 이어져 주말에도 뜨겁다"
97,234,ynat-v1_train_00234,6,억만장자 베니 스타인메츠 阿 광산 뇌물 혐의로 기소돼,"베니 스타인메츠, 아 광산 뇌물 의혹으로 기소"
98,235,ynat-v1_train_00235,0,신간 답이 보이지 않는 상황을 견디는 힘,어둠 속에서도 버티는 용기
99,240,ynat-v1_train_00240,1,벼락같은 중거리포로 러시아 가는 길 열어젖힌 이창민종합,"이창민, 중거리포 활약으로 러시아 탈출로 가능성 열어"
100,242,ynat-v1_train_00242,1,배구 남녀 대표팀 임도헌라바리니 감독 보령서 짧은 상견례,"배구 대표팀, 임도헌-라바리니 감독 보령서 단기 만남"
101,251,ynat-v1_train_00251,4,삼성 애플 구글 스마트폰 가을대전 임박,"가을 맞이 삼성·애플·구글 스마트폰, 격돌"
102,252,ynat-v1_train_00252,6,트럼프 드론 격추에 對이란 보복공격 승인했다 돌연 철회종합 보,"트럼프 드론 격추에 대한 이란, 보복공격 승인 뒤 돌연 철회"
103,253,ynat-v1_train_00253,6,폴란드서 이란 겨냥 美주도 여개국 중동문제회의 시작,"중동 문제 회의, 폴란드서 이란 공격 주장 美와 여개국 참석"
104,254,ynat-v1_train_00254,4,네이버 인공지능으로 식당 예약 전화 받는 콜 공개,"네이버, AI로 식당 예약 전화 자동 응대"
105,255,ynat-v1_train_00255,0,봄비 머금은 꽃망울,"꽃망울, 봄비의 여정"
106,259,ynat-v1_train_00259,4,인공지능 기술로 목소리 찾아드려요 목소리 찾기 프로젝트,"인공지능, 목소리 찾는 혁신: 목소리 찾기 프로젝트"
107,260,ynat-v1_train_00260,4,아이폰 프로 써보니 프로다운 카메라 성능 기대 이상,"아이폰 프로,  카메라 성능으로 '프로' 명사에 흠뻑"
108,262,ynat-v1_train_00262,0,국립민속박물관 아카이브 만들기 특별전 개최,"국립민속박물관, 아카이브 특별 전시 개막"
109,263,ynat-v1_train_00263,1,임도헌 감독 젊은 선수들 자신감 얻었다 내년 월 진짜 승부,"임도헌, 젊은 유망 선수들 든든한 자존심 내년 월드컵 '승리' 목표"
110,265,ynat-v1_train_00265,6,광년 떨어진 곳에서 지구 크기 삼형제 발견,"빛의 광년 거리, 지구와 같은 규모의 세 행성 발견"
111,267,ynat-v1_train_00267,1,출신 왕웨이중 복귀 에인절스전 이닝 무실점,"왕웨이중, 에인절스 전에서 강력한 모습"
112,269,ynat-v1_train_00269,1,차범근과 손흥민을 관통하는 공통점 와 그리고 아홉수,"차범근, 손흥민이 만나는 아홉수"
113,270,ynat-v1_train_00270,2,신년사 손학규 다당제 합의제로 희망 드리는 정치 실천,"손학규 신년사, 다당 합의제 통해 정치 실천 촉구"
114,271,ynat-v1_train_00271,6,노벨평화상 소식에 아프리카 환호 각국 정상 환영 잇따라,"노벨평화상 수상 소식, 아프리카 환호하며 각국 정상 축하"
115,272,ynat-v1_train_00272,2,野가 전한 설 민심 정권교체 해달라 자만말라 쓴소리도,"野가, 설 민심 '정권교체' 주장에 경계"
116,273,ynat-v1_train_00273,0,위안부 피해자 그림 선생님이 전하는 이야기,"전쟁의 상처, 위안부 피해자 그림 선생님"
117,275,ynat-v1_train_00275,5,그래픽 내년 코스피 전망치,"내년 코스피, 그래픽 분석 결과"
118,277,ynat-v1_train_00277,5,엔터테인먼트 분기 영업익 억원 증가,"엔터테인먼트, 이번 분기에 영업익 억원 상승"
119,279,ynat-v1_train_00279,1,최지만 시즌 첫 루타 종아리 통증으로 교체,"최지만, 시즌 시작 첫 경기에서 종아리 통증"
120,281,ynat-v1_train_00281,0,춘천 나이야가라 한국방송대상 작품상 수상,"나이야가라, 춘천서 한국방송대상 작품상 수상"
121,282,ynat-v1_train_00282,1,콘테 첼시 감독 캉테 로마전 출전여부 본인이 결정할 것,"캉테, 콘테 첼시 감독의 로마전 출전 여부 결정"
122,283,ynat-v1_train_00283,0,부산국제코미디페스티벌에 참여합니다,부산 국제 코미디 페스티벌 무대에 오르다
123,285,ynat-v1_train_00285,0,드랙퀸 연극 조지 맥브라이드의 전설 내달 초연,"조지 맥브라이드, 드랙퀸 연극 '전설' 내달 첫 무대"
124,286,ynat-v1_train_00286,1,이스라엘 역사 녹은 희비극 말 한 마리,"이스라엘, 역사 속 변화와 고뇌"
125,288,ynat-v1_train_00288,4,게시판 제 회 한국출판학회상에 천재교육 등 선정,"한국출판학회상, 천재교육 등 게시판 제 회 수상"
126,289,ynat-v1_train_00289,2,이인제 충청을 젊은 희망의 땅으로 만들것 충남지사 출마 선언,"이인제, 충청 청년 위한 희망 지표로서 충남지사 출마"
127,292,ynat-v1_train_00292,4,네이버뮤직 바이브로 통합 기존 서비스 내년 종료,"바이브, 네이버뮤직과 통합…기존 서비스는 내년 폐지"
128,293,ynat-v1_train_00293,2,문 대통령 안타까움 금할 수 없어 사망자 최소화 만전 기하라,"문 대통령, 사망자 최소화 위해 만전 기하"
129,294,ynat-v1_train_00294,1,스페인 회 연속 월드컵 본선 진출 이탈리아 행종합,"스페인, 연속 월드컵 본선 진출 놓치고 이탈리아에 승부"
130,295,ynat-v1_train_00295,6,유럽 최악 한파에 난민들 피해속출 폐렴 저체온증 극심,严寒欧洲，难民受寒灾雪地侵袭
131,300,ynat-v1_train_00300,2,김정은 탑승 추정 北 열차 단둥 통과 여시간 여정 개시,"김정은, 북한 열차로 단둥 통과, 여시간 방문 개시"
132,301,ynat-v1_train_00301,1,아시안게임 응원석엔 하나된 함성 벤치엔 우정의 미소,"아시아게임, 응원석과 벤치에 따스한 함성과 우정"
133,302,ynat-v1_train_00302,2,문대통령 미중러 협력 아세안 동행 비핵화 동력 보전했다,"문대통령, 미중러 협력·아세안 동행 강조…비핵화 및 동력 보전 노력"
134,304,ynat-v1_train_00304,2,평양정상회담 남북 정상 오찬장도 함께,"남북 정상, 평양에서 오찬"
135,306,ynat-v1_train_00306,4,연말연시 맞아 네트워크 특별대책 마련,"네트워크, 연말연시 안정운영 위한 특별대책 발표"
136,308,ynat-v1_train_00308,4,네이버 전문자료 검색 내년 안에 구글 따라잡을 것,"네이버, 전문 자료 검색 분야 내년 구글 탈환 목표"
137,309,ynat-v1_train_00309,2,민주 광역단체장 후보 면접 지방선거 당내 경쟁 개막,"지방선거, 민주 광역단체장 후보 면접 시작"
138,310,ynat-v1_train_00310,3,텔레콤 충청 지역 폭우피해 통신망 복구,"충청지역 폭우 피해, 텔레콤 통신망 빠르게 복구"
139,311,ynat-v1_train_00311,2,경제 윤종원 일자리 정태호 靑수석 교체 민생 고용 드라이브종합 보,"청와대 수석 교체, 윤종원 경제권 주축 놓고 민생 고용 집중"
140,312,ynat-v1_train_00312,2,朴대통령 한불 비즈니스포럼 콘 참석 파리서 경제 문화외교,"朴대통령, 한불 비즈니스포럼 참석하며 파리서 경제·문화 외교 활성화"
141,314,ynat-v1_train_00314,4,외국인에게 말만 하세요 한컴 이어폰형 통역기 서 첫선,"한컴, 외국인과 소통하기 위한 이어폰형 통역기를 출시"
142,315,ynat-v1_train_00315,6,이라크 프랑스인 조직원 가차없이 사형선고,"이라크, 프랑스인 대상 가차 없이 사형 선고"
143,316,ynat-v1_train_00316,0,아힘 프라이어가 소개하는 반지 부작,"아힘 프라이어, 반지 부작 공개"
144,318,ynat-v1_train_00318,1,프로농구 인삼공사 컬페퍼 햄스트링 부상 교체할 듯,"인삼공사 컬페퍼, 햄스트링 부상으로 교체될 가능성"
145,319,ynat-v1_train_00319,2,김현미 전월세상한제 신규 계약 적용 고려할 점 많아 신중론,"김현미 전월세상한제, 신규 계약 적용 검토 논란"
146,321,ynat-v1_train_00321,2,靑 추미애 긴급회동 제안에 정해진 바 없다,"청, 추미애와 긴급 회담 논의"
147,322,ynat-v1_train_00322,6,필리핀 국방장관 몰래 군부대에 中 통신 시설 설치 허용 재검토,"필리핀, 중국 군 통신 시설 설치 재 검토"
148,326,ynat-v1_train_00326,6,지구 임계온도 도 목표 촉구 인 시위,"임계온도 초과, 지구 온난화에 대한 시위"
149,328,ynat-v1_train_00328,0,버려진 튜브로 만든 설치미술,낡은 튜브를 활용한 미술 작품
150,330,ynat-v1_train_00330,4,폰 단독 출시,전화기 독점 출시
151,331,ynat-v1_train_00331,0,섬들의 근대화는 달랐다 일제가 쓰고 버린 태평양 섬 이야기,"태평양 유폐된 섬들, 일제 근대화의 다른 얼굴"
152,332,ynat-v1_train_00332,3,과학전람회 대통령상에 충북과학고생 최경준 손승연,"충북과학고생 최경준·손승연, 과학전람회 대통령상 수상"
153,333,ynat-v1_train_00333,4,무선 장비로 침입자 막는다 텔레캅 새 보안 서비스종합,"텔레캅, 무선 장비 활용한 차세대 보안 서비스 출시"
154,336,ynat-v1_train_00336,6,닷새째 경찰에 포위된 홍콩 이공대,"이공대, 닷새간 경찰 주변에 봉쇄"
155,337,ynat-v1_train_00337,2,與 대구 경북 공천면접심사 현역 진박 격돌,"대구 경북, 공천면접 심사에서 현역·진박 양 진영 대립"
156,338,ynat-v1_train_00338,3,강원 사옥 선교센터 일 착공 월 완공,"강원도 사옥 선교센터, 이달 말 준공"
157,342,ynat-v1_train_00342,3,모범장서가에 만 천 권 소장한 이종근씨 등,"이종근씨, 모범장서가에 만 권 귀중 서적 소장"
158,343,ynat-v1_train_00343,5,정의선 현대차그룹 회장 된다 세 경영 본격화종합,"정의선, 현대차그룹 회장 선정 세 경영 전략 본격 시행"
159,344,ynat-v1_train_00344,5,우리금융硏 대중부유층 명중 명 노후준비 부족하다고 생각,"대중부유층, 우리금융硏 '노후 준비 미흡' 지적"
160,346,ynat-v1_train_00346,3,긴급재난지원금 중 기부금은 천 억원 지급액의,"긴급재난지원금, 기부금 10억원 지급"
161,349,ynat-v1_train_00349,0,주터키한국문화원 개원 주년 행사 개최,주터키한국문화원 첫 주년 기념행사 열려
162,352,ynat-v1_train_00352,1,프로농구 후보 두경민 많은 것을 배운 시즌,"두경민, 프로농구 첫 시즌 '성장' 거듭"
163,353,ynat-v1_train_00353,0,베스트셀러 가벼운 에세이류 강세 계속,"에세이류, 가벼움으로 베스트셀러 독자 잡다"
164,355,ynat-v1_train_00355,0,이달의 편집상에 매일신문 공부까지 거리두면 등 편,"매일신문, 이달 편집상 선정 논란 최소화를 위한 '거리두기' 추진"
165,357,ynat-v1_train_00357,0,주말 여행 강원권 남한강축제서 무더위 날리자 속초는 피서철 이벤트,"남한강축제, 속초 해변 무더위 날리고 여행객 유치"
166,359,ynat-v1_train_00359,2,홍영표 홍문종 염동열 체포동의안 부결에 사과 책임통감,"홍영표, 홍문종 염동열 체포 동의안 부결에 사면책임 밝힘"
167,360,ynat-v1_train_00360,5,폭증한 신용대출도 가상화폐 시장으로 갔나,"가상화폐에 몰린 신용대출, 증가세 지속"
168,361,ynat-v1_train_00361,5,삼성전자 주총 퍼스트무버로 거듭나겠다종합,"삼성전자, 주총서 첫발 내딛고 미래 도약"
169,363,ynat-v1_train_00363,4,온도따라 변하는 스마트 입자 개발,기온에 반응하는 스마트 입자 개발
170,365,ynat-v1_train_00365,1,지각 입장한 남북 선수단 그 사연은,"남북 선수단, 지각 사유 드러나"
171,366,ynat-v1_train_00366,4,스마트폰에 신용카드 대면 삑 새 본인 인증 나온다,"스마트폰 신용카드 대면 결제, 본인 인증 시스템 도입"
172,371,ynat-v1_train_00371,1,고침 체육신인 순위 펄츠 복귀 필라델피아,"펄츠, 고침 체육신인 순위서 1위 독점 필라델피아"
173,372,ynat-v1_train_00372,0,영상 최강 한파 패딩 목도리 중무장 전국 강추위에 꽁꽁,"전국, 한파 심화… 최고 등급 패딩 목도리 장착 강추위 뚫기"
174,373,ynat-v1_train_00373,0,개 언어 인도 힌디어 국어 지정 놓고 찬반 논란,"힌디어, 국어로 개 언어 인도 지정? 논란"
175,374,ynat-v1_train_00374,6,터키군 시리아 진격 에르도안 평화의 샘 작전 개시 선언종합,"터키군, 시리아 진격 시작… 에르도안 '평화의 샘' 작전 개시"
176,375,ynat-v1_train_00375,0,충북 한여름 무더위 날씨는 맑음,"충북, 한여름 내내 쾌청한 날씨"
177,377,ynat-v1_train_00377,4,부산 엑스포서 해양안전 통신기술 시연,"해양안전통신기술, 부산 엑스포서에서 시연"
178,380,ynat-v1_train_00380,6,러시아 시리아서 발사했나 러 국방부는 부인,"시리아에서의 잠재적 공격? 러시아, 발사 주장에 반박"
179,382,ynat-v1_train_00382,2,朴대통령 국회연설 북한 회 핵 회 대화는 제로종합,"박 대통령, 국회 연설서 북한과 핵 대화 '제로' 선언"
180,383,ynat-v1_train_00383,3,석촌동 고분군 발굴 조사 설명회,"석촌동 고분군, 발굴 조사 상세 공개"
181,384,ynat-v1_train_00384,2,北 년만의 당대회 맞아 김정은 우상화 주민불만 커져종합,"김정은 우상화, 북 당대회 앞두고 주민불만 증가"
182,387,ynat-v1_train_00387,0,코리아둘레길 남해안길 남파랑길로 불러주세요,"남해안길, '남파랑길'로 명명"
183,388,ynat-v1_train_00388,1,인삼공사 이적생 트리오 알토란 활약 성공신화 예고,"인삼공사, 이적생 알토란 트리오 활약 눈길"
