,target,text
816,5,"신한은행, 디지털 전환 가속화… '금융혁신센터' 신설 및 벤처 기업 지원 확대"
820,5,"국제 금융기관, 한국 경제 성장 전망 조정"
825,5,"국내 소비자 물가 인지도 상승, 지출 줄임 노력 본격화"
843,5,글로벌 공급망 불안정 심화… 국내 업계 어려움 증가
851,5,"Kpop 팬덤 구매 활동, 한국 경제 성장에 기여…"
863,5,"주식시장, 국내외 경제 불확실성에 대한 우려 심화"
870,5,"KBeauty 열풍, 세계 마케팅 성공… '한국 제품' 소비자 신뢰 확보"
878,5,현명한 투자 전략으로 불확실한 경제 시장 대비
912,5,"고용 시장 불안정, 청년 실업률 지속 증가"
920,5,"공유경제 활성화, 지속 가능한 성장 추진"
923,5,블록체인 기술 활용… 투명하고 안전한 거래 시스템 구축
924,5,"스타트업 투자 활성화, 새로운 경제 성장동력으로 주목"
975,5,"NFT 기술 적용, 새로운 사업 모델 창출… 미래 경제 변화"
981,5,"에너지 비용 상승, 경제 활동에 부담 야기"
986,5,"불확실한 글로벌 환경 속 한국 경제, 대응 전략 수립 필요성 강조"
992,5,크라우드 펀딩 플랫폼 이용 확산… 새로운 투자 모델 등장
1004,5,"스타트업 생태계 성장 둔화, 투자 환경 개선 필요성 대두"
1007,5,"기업 혁신 활성화… 정부, R&D 지원 확대"
1053,5,해외 원자재 가격 상승 속도 악화… 국내 물가 상승 부담 증가
1056,5,인프라 투자 확대를 통한 경제 활성화 추진
1059,5,"주식 시장, 코로나 여파 이어 침체 지속?"
1063,5,ESG 투자 활성화… 지속 가능한 발전 기회 확대
1078,5,공유경제 발전으로 경쟁력 강화 및 새로운 비즈니스 모델 창출
1079,5,"메타버스 시장 성장, 투자 유치 활발"
1084,5,소비자 물가 상승… 주식 시장 불안감 증폭… 투자 전략 재고해야 할 때
1089,5,금리 인상으로 인한 대출 비용 증가… 실업률 상승 우려
1111,5,국내 부동산 가격 하락세 지속… 전문가 '신용 평가 강화 필요' 주장
1113,5,美-中 갈등 심화에 국제경제 혼란 확산
1137,5,코로나19 팬데믹 이후 경제 회복 속도 다소 느려짐
1161,5,소비 심리 회복에 따라 주택 시장 활성화… 부동산 가격 상승 전망
1181,5,올해 세금 인상 가능성 높아지며 시장 불안 심화
1182,5,"관광 산업, 해외 관광객 유치 노력 강화… 경제 활성화 기대"
1192,5,불황 전망에 대한 국민 불안감 증가… 정부의 경제 재건 노력 필요성 대두
1201,5,"고용 불안 가중, 청년층 취업난 문제 재점화"
1217,5,공유경제 발전으로 사회 경제 변화 추진
1222,5,글로벌 금융 시스템 안정성 확보 노력
1234,5,"지방 경제 활성화 방안 마련, 지역 특색 살린 개발 노력 필요"
1238,5,"한국 핀테크 산업, 글로벌 시장에서 활약"
1261,5,국내 기술력 강화를 위한 연구 개발 지원 확대 필요
1327,5,세계 금융 시장 변동성 확대… 국내 투자 자금 관리 철저 필요
1329,5,새로운 기술 개발 및 투자 유치를 통한 경쟁력 강화
1379,5,"코스피 지수 2,500점 돌파… 투자 시장 활성화 전망"
1396,5,"미국 연준 금리인상세, 글로벌 경제 악영향 우려"
1401,5,"국내 소비 증진 정책 추진, 경제 회복 활성화 노력"
1423,5,시장 경쟁 심화 속에서 국내 기업들의 R&D 투자 확대
1432,5,NFT 및 메타버스 투자 열풍 냉기를 맞이하는 가? 
1441,5,"현대자동차, 전기차 판매량 폭증… '쏘렌토 EV' 성공적인 시장 진출"
1442,5,디지털 전환 가속화에 따른 새로운 기회 창출… 한국 경제 경쟁력 강화
1461,5,전기 가격 상승으로 소비 심층 위축 전망
1463,5,"에너지 가격 변동성 심화, 기업 운영 어려움 악화"
1464,5,"비행기 운영 비용 상승, 항공권 가격 인상 우려"
1476,5,"통화비율 인상 우려, 국내 주식 시장 하락세 확산"
1482,5,"금리 인상에도 불구하고 물가 상승 속도 지속, 경제 우려 고조"
1497,5,"투자 유치 활성화, 한국 경제 성장 촉진 요인"
1499,5,"중국 경제 위축 심각, 세계경제에 영향 확산"
1519,5,"디지털 전환 기업, 경쟁력 강화 위한 혁신 기술 도입"
1529,5,"글로벌 경기 위축 우려 속 한국 경제, 안정적인 성장…"
1543,5,미래 도시 구축을 위한 투자 증가… 스마트 기반 사회 구축
1545,5,고용 시장 불안정 속… 취업 지원 정책 강화 필요성 대두
1547,5,"지역경제 활성화, 지역 특색 살린 발전 전략 추진"
1550,5,"글로벌 공급망 혼란, 한국 경제에도 영향…"
1558,5,"석유 가격, 국제 정세 악화에 따라 상승 추세"
1563,5,"ESG 투자 유치 확대, 지속가능한 성장을 위한 자금 마련 지원"
1564,5,국내 금융시장 안정을 위한 정책적 노력 지속
1572,5,"산업 4.0 추진, 생산성 증대 및 새로운 산업 육성"
1576,5,"관광 산업 부흥, 지역 경제 활성화 및 일자리 창출 효과 기대"
1587,5,"우리은행, 자율주행 시스템 투자 확대… 금융 산업 혁신 선도"
1601,5,"한국의 경제 성장률, OECD 평균을 상회…"
1631,5,대규모 투자 유치… 한국 부동산 개발 활성화 및 경제 활성화 전망
1652,5,"국내 농산물 수출 증가, 경제 지표 개선에 기여"
1667,5,"NFT 거래량 급증, 디지털 자산 시장 성장 추세"
1697,5,"글로벌 에너지 가격 상승, 국내 협력 시스템 구축 필요"
1722,5,"ESG 투자 유치 확대, 환경 보호 및 사회 문제 해결에 기여"
1732,5,"메타버스 시장 성장 잠재력 높아, 투자 유치 경쟁 치열해"
1735,5,인플레이션 지속적인 상승으로 소비자 생활 고통 증가
1744,5,"글로벌 금융 시장 위험 요소 증가, 감시 및 관리 강화 필요"
1747,5,사회적 책임 경영 (CSR) 활동 확대를 통한 기업 이미지 제고
1769,5,"고용 불안 해소, 청년층 취업 지원 정책 강화 추진"
1772,5,"데이터 분석 기술 활용, 경제 효율성 제고 노력"
1786,5,디지털 환경 속 소비 패턴 변화… 온라인 플랫폼 경쟁 심화
1794,5,"최저임금 인상 논의 심화, 소비 트렌드 변화 관찰"
1809,5,"ESG 투자 트렌드 확산, 친환경 사업에 대한 투자 증가"
1810,5,"미래 유망 산업 분야 육성, 청년 일자리 창출"
1814,5,"글로벌 협력 강화, 세계 경제 불확실성 해소 위한 노력"
1824,5,국내 핀테크 산업 성장세 지속… 새로운 금융 서비스 혁신
1827,5,"고금리 시대, 투자 인구 증가... '안전한 자산'에 집중"
1830,5,인공지능 기반 금융 서비스 활성화… 투자 및 분산 관리 효율성 향상
1836,5,"인플레이션 상승에 대한 대응책… 정부, 소비자 물가 안정 위한 노력 강화"
1838,5,"경제적 불평등 심각화 문제, 사회적 논의 필요성 대두"
1849,5,"국민연금, 투자 수익률 4% 목표… 글로벌 시장 불확실성 속 적극적 경영 전략"
1850,5,"블록체인 기술 활용 확대, 투명하고 안전한 거래 환경 구축"
1859,5,경제 불황 대비 시민들의 소비 패턴 변화 관찰
1874,5,"전 세계적인 인플레이션 심각, 국가별 대응 방안 다양하게 모색"
1877,5,"실물 경제 부진 우려에 증시 주가 추락, 투자자 불안감 증폭"
1880,5,"에너지 가격 하락… 세계 경제 성장 촉진, 불안감 감소"
1897,5,"국내 주식 시장, 긍정적 감각 확산… 코스피 지수 상승세 계속"
1901,5,금융 기술 발전에 따른 데이터 보안 중요성 강조… 개인정보 수집 및 활용 윤리 논의
1906,5,"美 금리 인상에 따른 외환시장 혼란, 달러 강세 지속"
1912,5,사회 변화에 맞춰 사회 복지 정책 개선 및 지원 강화
1936,5,전기차 시장 성장 가속… 친환경 에너지 확대 추진
1940,5,"KB금융, 신규 모바일 대출 상품 '카카오뱅크' 출시"
1954,5,"달러 강세 속 외환 시장 불안 심화, 한국 원 위축"
1964,5,스마트폰 성장세 감소… 새로운 소비 트렌드 등장
1967,5,친환경 기술 개발 투자 확대… 한국 경제 미래 선도
1998,5,AI 기반 금융 서비스 확대… 투자 자문 및 리스크 관리 지원 강화
2043,5,"인프라 투자 확대, 경제 성장 동력 부여 효과 기대"
2051,5,고용 부문 회복 속도 둔화… 경제 성장 동력 약화 우려
2056,5,"중소기업 대출금리 인하 추진, 경기 활성화 위해 노력"
2062,5,"중소기업 지원 강화, 창업 및 경쟁력 향상 도모"
2066,5,"정부 인프라 투자 확대, 경제 성장 동반 효과 기대"
2067,5,"美, 금리 인상 연속… 글로벌 경기침체 우려 심화"
2071,5,기업 경영 효율성 증대… 기술 자동화 도입 추세
2073,5,투자 비중 증가하며 경제 성장 동력 확대
2079,5,"소비자 트렌드 변화에 적응, 새로운 상품 및 서비스 개발 필요"
2087,5,"유럽 경제, 침체 심화… '고금리' 악영향 불가피"
2096,5,"경제 불황, 소비심 저하… 식품 및 서비스 산업 영향 심각"
2103,5,"스마트폰 소비 증가, 한국 경제 성장에 기여?"
2105,5,데이터 기반 경제 활성화 위한 정책 추진
2145,5,은행금리 인상에도 부동산 가격 상승 지속될까?
2166,5,"카카오뱅크, 금리 인상에도 대출 성장… '새로운 소비층' 확보 노력"
2174,5,"조선 해양, 해외 시장 진출 확대 계획 발표"
2181,5,ESG 투자 트렌드 확산… 기업 지속 가능 성장 경쟁 심화
2200,5,"한중 무역, 지난해 대비 감소 추세"
2215,5,금리 인상 효과 나타나지 않아 경기 둔화 우려
2237,5,국내 생산품 수요 급증... 글로벌 시장 경쟁 심화
2245,5,"우리은행, 미국 정부 발행채권 매입…"
2270,5,"불규칙적 소비 행태 개선, 지속 가능한 경제 발전 도모"
2272,5,"디지털 환경 속 금융혁신 가속화, 새로운 사업 모델 등장"
2288,5,"美 연준, 금리 인상 잠재적 속도 완화 시사"
2291,5,"헬스케어 산업, 혁신 기술 투자 증가"
2298,5,실물 경제 활력 저하… 중국 경제 성장률 감소 우려
2300,5,"ESG 투자 트렌드 확산, 기업 지속가능성 중요성 부각"
2302,5,"블록체인 기술 활용 금융 서비스 변화, 새로운 시각 요구"
2342,5,블록체인 기술 활용한 신융자금 시장 부흥… '탈중앙화' 열풍 확산
2344,5,블록체인 기술 활용 확대… 새로운 투자 기회 창출 및 경제 성장 유도
2346,5,환경 친화적 기술 개발에 대한 투자 증가
2351,5,"사회적 책임 실천, 지속 가능한 경제 발전 추진"
2365,5,기업 투자활동 감소에 대한 정부 지원 필요성 부각
2387,5,"디지털 환경 변화 속… 기업, 재구성 및 혁신 필요성 증가"
2389,5,"새로운 금융 시스템 도입, 디지털 전환 가속화"
2421,5,"미국-중국 무역 갈등 지속, 세계 경제에 영향 까지 확산"
2424,5,금융 거래량 증가… 디지털 통화 가치 상승 추세
2447,5,중국 경제 부진 속... 한국 전반적인 수출 감소 우려
2454,5,"'AI, 4차 산업혁명 선도… 기업 경쟁력 향상을 위한 최적의 투자 전략'"
2479,5,"무역 통계 개선, 국제 경쟁력 강화"
2482,5,국내 금융시장 안정성 확보 위한 정부 대책… 시장 리스크 관리 강화 방안 발표
2505,5,국내 소비 증가세… 경제 회복 전망 제기
2526,5,"K팝, 글로벌 시장에서 경제 성장 동력… 팬덤 효과와 콘텐츠 수출 확대"
2541,5,"글로벌 협력, 새로운 시대 개막… 세계 경제 성장 활성화"
2568,5,글로벌 금리 상승 추세… 한국 달러 환율 변동 주의 필요
2626,5,"대기업, 1분기 실적 감소 전망… 글로벌 경기 불안 지속"
2632,5,"국내 내수 시장 활성화 노력, 경제 회복 촉진"
