,index,ID,text,target,target_name,source,similarity,predicted_value
18,201,ynat-v1_train_00047,"국제 미술 전시회, 새로운 현대미술 트렌드 공개",2,정치,noisy,0.21232,6
19,201,ynat-v1_train_00047,"헬스케어 앱, 스트레스 관리 프로그램 출시",2,정치,noisy,0.21232,6
20,200,ynat-v1_train_00047,김종 리먼 라더스 사태처럼 충격 지속 을 것,2,정치,noisy,0.20913,6
21,201,ynat-v1_train_00047,"친환경 패션 브랜드, 지속 가능한 소재 사용 확대",2,정치,noisy,0.21232,6
22,205,ynat-v1_train_00047,김종린 리비아 사태처럼 6개월 충격 지속될 것이라는 전망,2,정치,noisy,0.19697,6
23,205,ynat-v1_train_00047,"중남미 농업 생산량 증가, 글로벌 식량 공급에 영향 미칠 것",2,정치,noisy,0.19697,6
24,205,ynat-v1_train_00047,"동남아시아 국가들, 정치적 안정화를 위한 대규모 회담 개최",2,정치,noisy,0.19697,6
25,205,ynat-v1_train_00047,"아프리카 광물 자원 개발, 경제 성장의 새로운 기회 되나",2,정치,noisy,0.19697,6
26,205,ynat-v1_train_00047,"유럽의 에너지 위기, 1년 이상 지속될 전망",2,정치,noisy,0.19697,6
27,205,ynat-v1_train_00047,"한국 기업들, 중동 진출 전략 개편 예고",2,정치,noisy,0.19697,6
28,201,ynat-v1_train_00047,"교육 혁신, 온라인 학습 플랫폼 사용자 50% 급증",2,정치,noisy,0.21232,6
29,200,ynat-v1_train_00047,"국제 인권 단체, 난민 수용 정책 개선 요구",2,정치,noisy,0.20913,6
30,233,ynat-v1_train_00052,LGU+ 통신요금 4만원 이상 고객에게 고금리 적금 출시,4,IT과학,noisy,0.26585,5
31,233,ynat-v1_train_00052,"SK브로드밴드, 인터넷 서비스 업그레이드 시 무료 케이블 TV 제공",4,IT과학,noisy,0.26585,5
32,233,ynat-v1_train_00052,"LG U+, 가족 결합 요금제 가입자에게 모바일 게임 아이템 할인",4,IT과학,noisy,0.26585,5
33,233,ynat-v1_train_00052,"KT, 스마트 홈 기기 구매 시 최대 20% 할인 쿠폰 제공",4,IT과학,noisy,0.26585,5
34,233,ynat-v1_train_00052,"KT, 신규 가입자 대상 프리미엄 음악 스트리밍 서비스 무료 제공",4,IT과학,noisy,0.26585,5
35,233,ynat-v1_train_00052,"SK텔레콤, 데이터 무제한 요금제 가입자 대상 특별 포인트 적립 이벤트",4,IT과학,noisy,0.26585,5
36,297,ynat-v1_train_00065,"WTO, 새로운 무역 규제로 회원국 간 갈등 고조",2,정치,noisy,0.22021,6
37,297,ynat-v1_train_00065,IMF에서 발생한 이 사건은 국제사회의 긴장을 높였습니다.,2,정치,noisy,0.22021,6
38,297,ynat-v1_train_00065,"IAEA, 핵확산 방지 회의로 국제 사회 주목 받아",2,정치,noisy,0.22021,6
39,297,ynat-v1_train_00065,"UN, 기후변화 협약 재협상 요구로 회원국들 긴장",2,정치,noisy,0.22021,6
40,297,ynat-v1_train_00065,"OECD, 경제 정책 변화로 주요국들의 대응 주목",2,정치,noisy,0.22021,6
41,297,ynat-v1_train_00065,"NATO 회담, 회원국 간 군사 협력 강화 방안 논의",2,정치,noisy,0.22021,6
42,381,ynat-v1_train_00087,"유럽 항공사 조종사들, 모의 비행 중 중요한 결함 발견해 논란",0,생활문화,noisy,0.17066,3
43,378,ynat-v1_train_00087,"2022년 입사시험, AI 감독관 도입으로 보안 강화",0,생활문화,noisy,0.16534,3
44,378,ynat-v1_train_00087,"2024년 대학 입학 면접, 디지털 플랫폼을 통한 비대면 진행",0,생활문화,noisy,0.16534,3
45,378,ynat-v1_train_00087,"2025년 중등교육 졸업고사, 친환경 정책과 연계된 시험 방식 도입",0,생활문화,noisy,0.16534,3
46,378,ynat-v1_train_00087,"2026년 공무원 채용 시험, 스마트 기술로 평가 효율성 증대",0,생활문화,noisy,0.16534,3
47,378,ynat-v1_train_00087,"2028년 고교 교과목 개편, 가상현실을 활용한 실전 경험 강화",0,생활문화,noisy,0.16534,3
48,381,ynat-v1_train_00087,"중국 IT 기업, 차세대 스마트폰 출시 앞두고 테스트 데이터 유출 의혹",0,생활문화,noisy,0.17066,3
49,378,ynat-v1_train_00087,"2023년 수능, 전국적으로 안정적인 진행... 학생들의 건강과 안전이 최우선입니다.",0,생활문화,noisy,0.16534,3
50,381,ynat-v1_train_00087,한 교사가 6월 CSAT 모의고사 문제 유출 혐의로 구속됐다.,0,생활문화,noisy,0.17066,3
51,381,ynat-v1_train_00087,"일본 교육청, 전국 모의고사 문제 부정 유출 의혹으로 책임자 징계 검토",0,생활문화,noisy,0.17066,3
52,381,ynat-v1_train_00087,"미국 대학 입시 스캔들, 시험 문제 유출 혐의로 대학 관계자 체포",0,생활문화,noisy,0.17066,3
53,381,ynat-v1_train_00087,"캐나다 대학, 온라인 강의 자료 무단 공유로 학생들 고발",0,생활문화,noisy,0.17066,3
54,403,ynat-v1_train_00091,온 으 한방 바 를 느끼다 천 한방 스,3,사회,noisy,0.18107,0
55,399,ynat-v1_train_00091,"천한방 DSN, 환자 중심의 개인 맞춤형 의료 서비스 출시",3,사회,noisy,0.16977,0
56,401,ynat-v1_train_00091,D20 한방 치료 체험기: 현대인의 건강 문제 해결의 실마리,3,사회,noisy,0.17874,0
57,399,ynat-v1_train_00091,건강을 되찾기 위한 한의학의 새로운 패러다임 천한방 DSN.,3,사회,noisy,0.16977,0
58,397,ynat-v1_train_00091,"AI 기반 의료 혁신, 스마트 헬스케어 시스템 도입으로 환자 회복 속도 향상",3,사회,noisy,0.17302,0
59,398,ynat-v1_train_00091,D20 침술 경험: 현대인을 위한 건강 문제 해결의 등불,3,사회,noisy,0.17755,0
60,397,ynat-v1_train_00091,"한방 치료의 새로운 패러다임, 천한방DSN으로 건강 되찾다",3,사회,noisy,0.17302,0
61,399,ynat-v1_train_00091,자연 치유력을 극대화하는 한의학의 최신 트렌드,3,사회,noisy,0.16977,0
62,403,ynat-v1_train_00091,"현대인을 위한 완벽한 휴식처, 천 한방 스파의 매력 탐구",3,사회,noisy,0.18107,0
63,399,ynat-v1_train_00091,"한국 한방 의학의 새로운 도약, 천한방 DSN으로 입증된 효과",3,사회,noisy,0.16977,0
64,401,ynat-v1_train_00091,"한방 치료로 스트레스 해소, 직장인들의 새로운 웰빙 트렌드",3,사회,noisy,0.17874,0
65,401,ynat-v1_train_00091,"자연 속 힐링, 한옥에서 즐기는 전통 한방 체험",3,사회,noisy,0.17874,0
66,401,ynat-v1_train_00091,도시의 피로를 풀어주는 도심 속 한방 스파,3,사회,noisy,0.17874,0
67,401,ynat-v1_train_00091,"친환경 농업과 결합한 한방 치료, 농촌의 미래",3,사회,noisy,0.17874,0
68,401,ynat-v1_train_00091,학생들의 학습 집중력 향상을 위한 한방 보충제 효과,3,사회,noisy,0.17874,0
69,403,ynat-v1_train_00091,건강한 라이프스타일을 위한 '천 한방 스파' 체험기,3,사회,noisy,0.18107,0
70,399,ynat-v1_train_00091,전통과 현대를 결합한 한방 치료법의 진화,3,사회,noisy,0.16977,0
71,397,ynat-v1_train_00091,"글로벌 백신 개발 경쟁, mRNA 기술로 팬데믹 종식 앞당긴다",3,사회,noisy,0.17302,0
72,399,ynat-v1_train_00091,"혁신적인 한의학 치료법, 건강 회복의 새로운 길 열다",3,사회,noisy,0.16977,0
73,398,ynat-v1_train_00091,"로봇과 드론이 바꾸는 농촌 풍경""",3,사회,noisy,0.17755,0
74,398,ynat-v1_train_00091,"첨단 기술로 재탄생한 공원""",3,사회,noisy,0.17755,0
75,403,ynat-v1_train_00091,"도심 속 힐링 스팟, 천 한방 스파의 특별한 서비스 소개",3,사회,noisy,0.18107,0
76,398,ynat-v1_train_00091,"지속 가능한 디자인 요소들""",3,사회,noisy,0.17755,0
77,398,ynat-v1_train_00091,"미래의 건강 관리 방안""",3,사회,noisy,0.17755,0
78,397,ynat-v1_train_00091,"농업 혁신의 선두주자, 드론과 AI로 스마트 농업 실현",3,사회,noisy,0.17302,0
79,397,ynat-v1_train_00091,"우주 탐사의 새로운 시대, 달 기지 건설 프로젝트 본격화",3,사회,noisy,0.17302,0
80,403,ynat-v1_train_00091,"스트레스 해소를 위한 최고의 스파, 천 한방 스파 체험 리뷰",3,사회,noisy,0.18107,0
81,403,ynat-v1_train_00091,"자연과 함께하는 힐링, 천 한방 스파에서의 하루",3,사회,noisy,0.18107,0
82,398,ynat-v1_train_00091,"학생들의 흥미를 자극하다""",3,사회,noisy,0.17755,0
83,397,ynat-v1_train_00091,"재생 의학의 미래, 유전자 치료로 신경 질환 치료 가능성 제고",3,사회,noisy,0.17302,0
84,438,ynat-v1_train_00099,北 무수단 발사 대기권 재진입 기술 확보 여부가 관건,6,세계,not_noisy,0.19266,2
85,438,ynat-v1_train_00099,"인도, 차세대 통신 위성 발사로 5G 네트워크 구축 가속화",6,세계,not_noisy,0.19266,2
86,438,ynat-v1_train_00099,"유럽 우주국, 새로운 행성 탐사선 발사 성공",6,세계,not_noisy,0.19266,2
87,438,ynat-v1_train_00099,"국제 원자력 기구, 차세대 원자로 안전 실험 완료",6,세계,not_noisy,0.19266,2
88,438,ynat-v1_train_00099,"남미 국가들, 대규모 태양 에너지 프로젝트 협력 확대",6,세계,not_noisy,0.19266,2
89,438,ynat-v1_train_00099,"아프리카 연합, 지속 가능한 농업 기술 도입 박차",6,세계,not_noisy,0.19266,2
90,452,ynat-v1_train_00103,"LG전자, AI 탑재한 차세대 가전제품 라인업 출시",5,경제,noisy,0.24936,4
91,452,ynat-v1_train_00103,"샤오미, AI 기능 강화한 프리미엄 태블릿 출시",5,경제,noisy,0.24936,4
92,452,ynat-v1_train_00103,"애플, 스마트홈 통합 기능 강화한 스마트 스피커 출시",5,경제,noisy,0.24936,4
93,452,ynat-v1_train_00103,"구글, AI 기술 도입한 차세대 노트북 공개",5,경제,noisy,0.24936,4
94,452,ynat-v1_train_00103,삼성전자가 AI 기반 업무 효율화를 극대화한 새로운 버전 스마트폰을 출시한다.,5,경제,noisy,0.24936,4
95,452,ynat-v1_train_00103,"화웨이, AI 기반 건강 모니터링 스마트워치 공개",5,경제,noisy,0.24936,4
96,607,ynat-v1_train_00132,"로마 콜로세움, 보수 작업 완료 후 재개장 발표",0,생활문화,noisy,0.18133,1
97,607,ynat-v1_train_00132,"베를린 박물관, 고대 문명 특별전 개막",0,생활문화,noisy,0.18133,1
98,607,ynat-v1_train_00132,"런던 오페라 하우스, 세계적인 뮤지컬 '햄릿' 흥행 성공",0,생활문화,noisy,0.18133,1
99,607,ynat-v1_train_00132,"뉴욕의 랜드마크 자유의 여신상, 새로운 조명 시스템 도입",0,생활문화,noisy,0.18133,1
100,607,ynat-v1_train_00132,"바르셀로나를 떠나 빌바오에 합류한 메시, 축구계의 큰 파도.",0,생활문화,noisy,0.18133,1
101,607,ynat-v1_train_00132,"파리 패션 위크, 최신 트렌드 소개하는 혁신적인 패션쇼 개최",0,생활문화,noisy,0.18133,1
102,619,ynat-v1_train_00135,"클래식 음악 페스티벌, 역대급 출연진과 함께 개막",0,생활문화,noisy,0.18749,1
103,619,ynat-v1_train_00135,"국제 럭비 대회, 새로운 룰 도입으로 긴장감 고조",0,생활문화,noisy,0.18749,1
104,619,ynat-v1_train_00135,"세계 바둑 챔피언십, 신예 선수 우승 도전",0,생활문화,noisy,0.18749,1
105,619,ynat-v1_train_00135,"MLB 로키스, 피츠버그와 경기! 뉴에이지 메달리스트 감독 취임",0,생활문화,noisy,0.18749,1
106,619,ynat-v1_train_00135,"축구 리그 개편 발표, 기존 팀 재편성 시작",0,생활문화,noisy,0.18749,1
107,619,ynat-v1_train_00135,"NBA 슈퍼스타, 새로운 팀에서 첫 경기 승리 이끌다",0,생활문화,noisy,0.18749,1
108,841,ynat-v1_train_00192,"대기업 공장의 신규 안전 프로토콜 도입, 노동자 혜택 확장 검토",0,생활문화,noisy,0.16548,3
109,843,ynat-v1_train_00192,"서울 버스 노선 개편, 교통 혼잡 완화 기대",0,생활문화,noisy,0.16799,3
110,843,ynat-v1_train_00192,"파리 메트로, 유지보수 프로그램 확대하여 안전성 향상",0,생활문화,noisy,0.16799,3
111,841,ynat-v1_train_00192,"건설 현장의 안전 강화 방안, 시간당 임금 제도 개편 논의",0,생활문화,noisy,0.16548,3
112,847,ynat-v1_train_00192,"인천 공항 활주로 폐쇄, 항공편 지연",0,생활문화,noisy,0.16221,3
113,847,ynat-v1_train_00192,대전 광역버스 요금 인상 계획 발표,0,생활문화,noisy,0.16221,3
114,847,ynat-v1_train_00192,서울 버스 교통사고로 3명 부상,0,생활문화,noisy,0.16221,3
115,847,ynat-v1_train_00192,KTX 열차 고장으로 승객 귀가 지연,0,생활문화,noisy,0.16221,3
116,847,ynat-v1_train_00192,지하철 1호선 전력 문제로 일시 중단,0,생활문화,noisy,0.16221,3
117,843,ynat-v1_train_00192,"런던 Underground, 친환경 전동차 도입 발표",0,생활문화,noisy,0.16799,3
118,844,ynat-v1_train_00192,프랑크푸르트 지하철역의 안전 시설 부족 논란,0,생활문화,noisy,0.18799,3
119,844,ynat-v1_train_00192,"도쿄 공원에서 발생한 안전사고, 예방 대책 마련 촉구",0,생활문화,noisy,0.18799,3
120,844,ynat-v1_train_00192,"뉴욕 지하철역 사고, 승객 안전 강화 방안 논의 중",0,생활문화,noisy,0.18799,3
121,844,ynat-v1_train_00192,LA 고속도로 공사 현장 안전 문제 대두,0,생활문화,noisy,0.18799,3
122,844,ynat-v1_train_00192,"호주의 관광 명소, 방문자 안전 개선 촉구",0,생활문화,noisy,0.18799,3
123,842,ynat-v1_train_00192,산업현장 안전 문제와 재발 방지를 위한 대책에 대한 논의가 필요하다.,0,생활문화,noisy,0.16165,3
124,842,ynat-v1_train_00192,AI 기술 도입으로 스마트 공장의 안전성 대폭 향상,0,생활문화,noisy,0.16165,3
125,843,ynat-v1_train_00192,"도쿄 메트로, 스마트 교통 시스템 도입으로 안전성 강화",0,생활문화,noisy,0.16799,3
126,843,ynat-v1_train_00192,서울 지하철 9호선 탈선 사고로 4명 부상,0,생활문화,noisy,0.16799,3
127,842,ynat-v1_train_00192,"의료 분야 AI 안전성 검증 위원회 출범, 환자 보호 나선다",0,생활문화,noisy,0.16165,3
128,847,ynat-v1_train_00192,서울 지하철 9호선 탈차사고로 4명이 다쳤다.,0,생활문화,noisy,0.16221,3
129,841,ynat-v1_train_00192,"SPT 기둥 사고, 안전 조치에 대한 시간당 임금",0,생활문화,noisy,0.16548,3
130,842,ynat-v1_train_00192,"항공 업계, 자율주행 기술로 인한 안전 혁신 논의",0,생활문화,noisy,0.16165,3
131,844,ynat-v1_train_00192,"SPT뚝 사고, 안전 대책 시급",0,생활문화,noisy,0.18799,3
132,842,ynat-v1_train_00192,"해양 운송업계, 자동화 시스템 도입으로 선원 안전 확보",0,생활문화,noisy,0.16165,3
133,842,ynat-v1_train_00192,"재생에너지 발전소, 안전 규제 강화로 전환 성공 사례 주목",0,생활문화,noisy,0.16165,3
134,843,ynat-v1_train_00192,"뉴욕 지하철 확장 프로젝트, 역대 최대 규모 공사 착수",0,생활문화,noisy,0.16799,3
135,841,ynat-v1_train_00192,"건축 프로젝트 안전 관리 시스템 개선, 근로자 시간제 임금 정책 개선",0,생활문화,noisy,0.16548,3
136,841,ynat-v1_train_00192,"신축 건물 안전 기준 강화, 시간제 노동자 보호 확대",0,생활문화,noisy,0.16548,3
137,841,ynat-v1_train_00192,"건축 산업 안전 규제, 근로자 시간당 보상 체계 재검토",0,생활문화,noisy,0.16548,3
138,864,ynat-v1_train_00198,"국내 유명 셰프, 새로운 요리 프로그램 론칭",0,생활문화,not_noisy,0.18281,3
139,864,ynat-v1_train_00198,"유명 스포츠 팀, 시즌 개막 앞두고 훈련 집중",0,생활문화,not_noisy,0.18281,3
140,864,ynat-v1_train_00198,혁신적인 스마트 시티 프로젝트 시동,0,생활문화,not_noisy,0.18281,3
141,864,ynat-v1_train_00198,버닝썬 게이트 다룬 그것이 알고 싶다,0,생활문화,not_noisy,0.18281,3
142,864,ynat-v1_train_00198,"인기 웹툰 작가, 글로벌 독자 대상 온라인 행사 개최",0,생활문화,not_noisy,0.18281,3
143,864,ynat-v1_train_00198,"신인 아이돌 그룹, 첫 앨범 발표로 팬들 흥분",0,생활문화,not_noisy,0.18281,3
144,872,ynat-v1_train_00202,"스포츠 경기, 주말 시청률 폭발적 증가로 화제",3,사회,noisy,0.1842,0
145,877,ynat-v1_train_00202,케이블 채널 '꽃보다 남자' 인기몰이 중,3,사회,noisy,0.17098,0
146,877,ynat-v1_train_00202,한국 드라마 '대장금' 재방 시청률 20% 돌파,3,사회,noisy,0.17098,0
147,877,ynat-v1_train_00202,드라마 '왕의 남자' 방영 후 시청률 급등,3,사회,noisy,0.17098,0
148,872,ynat-v1_train_00202,"축구 월드컵 예선, 전국적 관심으로 시청률 최고치 기록",3,사회,noisy,0.1842,0
149,872,ynat-v1_train_00202,"농구 프로리그, 새로운 시즌 개막과 함께 팬들의 폭발적 반응",3,사회,noisy,0.1842,0
150,872,ynat-v1_train_00202,"대학 야구 토너먼트, 전국 학생들의 뜨거운 관심 끌다",3,사회,noisy,0.1842,0
151,877,ynat-v1_train_00202,웹툰 원작 드라마 '치즈인더트랩' 인기상승,3,사회,noisy,0.17098,0
152,872,ynat-v1_train_00202,"골프 대회, 주요 선수들의 활약에 시청률 급상승",3,사회,noisy,0.1842,0
153,877,ynat-v1_train_00202,역사 드라마 '육룡이 나르샤' 시청률 역대 최고 기록,3,사회,noisy,0.17098,0
154,877,ynat-v1_train_00202,'조선구마사'에 대한 TV 조선의 시청률이 높아졌습니다.,3,사회,noisy,0.17098,0
155,872,ynat-v1_train_00202,나 면 속 스 시청률 상승,3,사회,noisy,0.1842,0
156,912,ynat-v1_train_00209,"국제 은행, 신흥 시장의 정치 불안정에 대한 경고",2,정치,noisy,0.24882,6
157,912,ynat-v1_train_00209,"글로벌 기술 기업, 내부 혁신 추진 위해 인재 영입 강화",2,정치,noisy,0.24882,6
158,912,ynat-v1_train_00209,"유럽 주요국, 환경 정책 강화로 친환경 에너지 개발 가속화",2,정치,noisy,0.24882,6
159,912,ynat-v1_train_00209,"정당 내 분쟁의 악화, 양쪽 N/W 강대국의 정당 지도부에 대한 압력.",2,정치,noisy,0.24882,6
160,912,ynat-v1_train_00209,아시아 경제 포럼에서 무역 협력 증진 논의,2,정치,noisy,0.24882,6
161,912,ynat-v1_train_00209,"북미 지역 항공사, 새로운 항공 노선 확충 계획 발표",2,정치,noisy,0.24882,6
162,935,ynat-v1_train_00216,"러시아, 인도와의 에너지 협정으로 글로벌 시장 진출 확대",6,세계,noisy,0.21001,2
163,935,ynat-v1_train_00216,"스위스, 일본과 금융 기술 협력으로 핀테크 산업 발전",6,세계,noisy,0.21001,2
164,935,ynat-v1_train_00216,"유럽 연합, 프랑스와 독일의 공조로 기후변화 대응 강화",6,세계,noisy,0.21001,2
165,939,ynat-v1_train_00216,"브라질과 아르헨티나, 새 에너지 협력 협정 체결",6,세계,noisy,0.21462,2
166,939,ynat-v1_train_00216,"유럽 연합, 인도와 기후 변화 대응을 위한 공동 펀드 설립",6,세계,noisy,0.21462,2
167,939,ynat-v1_train_00216,"오스트레일리아와 캐나다, 우주 탐사 프로젝트 동맹 강화",6,세계,noisy,0.21462,2
168,935,ynat-v1_train_00216,"호주, 뉴질랜드와 공동 농업 혁신 프로그램 출범",6,세계,noisy,0.21001,2
169,935,ynat-v1_train_00216,"캐나다와 브라질, 아마존 보호를 위한 환경 협력 선언",6,세계,noisy,0.21001,2
170,939,ynat-v1_train_00216,남한 정부와 미국과의 협력을 통해 북한 문제를 해결하려는 의지.,6,세계,noisy,0.21462,2
171,939,ynat-v1_train_00216,"러시아와 일본, 북극 자원 개발을 위한 전략적 파트너십 형성",6,세계,noisy,0.21462,2
172,939,ynat-v1_train_00216,"아프리카 국가들, 디지털 경제 발전을 위한 기술 협력 추진",6,세계,noisy,0.21462,2
173,935,ynat-v1_train_00216,"한국 정부, 미국과의 협력 통해 북한 문제 해결 의지",6,세계,noisy,0.21001,2
174,1017,ynat-v1_train_00237,아시아 전역에서 유행하는 최신 K-팝 트렌드 분석,6,세계,noisy,0.19487,2
175,1013,ynat-v1_train_00237,"젊은 세대의 정치적 각성, 새 선거 전략을 탄생시키다",6,세계,noisy,0.18935,2
176,1011,ynat-v1_train_00237,"최신 스마트홈 기술, 주거 환경 개선으로 일상 생활의 질 향상 기대",6,세계,noisy,0.18347,2
177,1011,ynat-v1_train_00237,"친환경 자동차 업체, 전기 트럭 출시 선언...자동차 산업 변화 예고",6,세계,noisy,0.18347,2
178,1011,ynat-v1_train_00237,"인기 아이돌 그룹, 첫 해외 콘서트 개최...공연계 큰 화제",6,세계,noisy,0.18347,2
179,1016,ynat-v1_train_00237,"대선 주자 원희룡, 정책 공약 발표로 주목",6,세계,noisy,0.17772,2
180,1011,ynat-v1_train_00237,"새로운 스타트업, AI 기반 헬스케어 솔루션 공개로 의료업계 혁신 예고",6,세계,noisy,0.18347,2
181,1017,ynat-v1_train_00237,미국과 중국 간의 경제 협력 강화 방안 논의,6,세계,noisy,0.19487,2
182,1017,ynat-v1_train_00237,글로벌 IT 기업들의 혁신적인 인공지능 기술 발표,6,세계,noisy,0.19487,2
183,1016,ynat-v1_train_00237,지방 선거 앞두고 투표 참여 독려 운동 확산,6,세계,noisy,0.17772,2
184,1016,ynat-v1_train_00237,정치 혁신을 위한 후보 간 토론회 개최 예정,6,세계,noisy,0.17772,2
185,1017,ynat-v1_train_00237,세계 각국의 새로운 친환경 에너지 정책 도입,6,세계,noisy,0.19487,2
186,1016,ynat-v1_train_00237,"후보자들, 선거 운동 자금 확보 전략 모색",6,세계,noisy,0.17772,2
187,1017,ynat-v1_train_00237,유럽 주요 도시의 도심 재개발 프로젝트,6,세계,noisy,0.19487,2
188,1011,ynat-v1_train_00237,"유명 셰프, 세계적인 요리 대회 우승으로 미식계에 새로운 바람",6,세계,noisy,0.18347,2
189,1013,ynat-v1_train_00237,홍 후보는 총선에 출마합니다... 정치적 인식의 변화를 예측합니다.,6,세계,noisy,0.18935,2
190,1013,ynat-v1_train_00237,"변화의 시대, 새로운 정치 패러다임이 주목받고 있다",6,세계,noisy,0.18935,2
191,1013,ynat-v1_train_00237,미래 지향적인 정치 메시지로 유권자들의 마음을 사로잡다,6,세계,noisy,0.18935,2
192,1013,ynat-v1_train_00237,"정치적 다양성 확대, 다음 선거에서의 도전 과제와 기회",6,세계,noisy,0.18935,2
193,1011,ynat-v1_train_00237,"홍 후보, 총선 출마 선언...정치권 지각 변동 예고",6,세계,noisy,0.18347,2
194,1014,ynat-v1_train_00237,"신제품 발표로 활기 되찾은 IT 업계, 혁신의 바람이 분다",6,세계,noisy,0.18345,2
195,1014,ynat-v1_train_00237,"세계적인 영화제에서 한국 영화의 도약, 올해 최대 기대작 공개",6,세계,noisy,0.18345,2
196,1014,ynat-v1_train_00237,"투표 참여 독려하는 홍 후보, 선거 운동 본격화",6,세계,noisy,0.18345,2
197,1013,ynat-v1_train_00237,"정치 개혁의 바람, 이번 총선에서 혁신의 물결이 일어난다",6,세계,noisy,0.18935,2
198,1014,ynat-v1_train_00237,"환경 보호 캠페인, 청소년들의 적극적인 참여로 확산",6,세계,noisy,0.18345,2
199,1017,ynat-v1_train_00237,투표에 대한 참여를 장려하는 홍 후보와 본격적인 선거 캠페인.,6,세계,noisy,0.19487,2
200,1014,ynat-v1_train_00237,"글로벌 패션위크, 새로운 디자인 트렌드로 눈길 끌어",6,세계,noisy,0.18345,2
201,1014,ynat-v1_train_00237,"대학 입시 설명회, 학생과 학부모들의 관심 집중",6,세계,noisy,0.18345,2
202,1016,ynat-v1_train_00237,"정치단체, 선거 자금 지원 금지 소송 제기",6,세계,noisy,0.17772,2
203,1016,ynat-v1_train_00237,"지원 금지에 대한 소송, 9월 원희룡 후보에 투표하고 싶으면 그렇게 하세요.",6,세계,noisy,0.17772,2
204,1031,ynat-v1_train_00239,"구글, AI 기반 기상 예측 시스템 출시로 기후 변화 대응 강화",5,경제,noisy,0.20188,4
205,1025,ynat-v1_train_00239,"네이버, AI 기술로 도시 교통 문제 해결 나선다",5,경제,noisy,0.22373,4
206,1029,ynat-v1_train_00239,"SK그룹, 친환경 기술 투자 확대로 미래 성장 동력 확보",5,경제,noisy,0.1925,4
207,1025,ynat-v1_train_00239,"LG전자, AR 기술 활용한 헬스케어 서비스 공개",5,경제,noisy,0.22373,4
208,1031,ynat-v1_train_00239,"현대자동차, 전기차 충전소 네트워크 확장 계획 발표",5,경제,noisy,0.20188,4
209,1031,ynat-v1_train_00239,"롯데쇼핑, 온라인 쇼핑 편의성 높이기 위한 모바일 앱 업데이트",5,경제,noisy,0.20188,4
210,1031,ynat-v1_train_00239,SK텔레콤은 의료 서비스 혁신을 주도하기 위해 헬릭스비전과 협력합니다.,5,경제,noisy,0.20188,4
211,1029,ynat-v1_train_00239,"SK텔레콤, AI 기술을 활용한 고객 서비스 강화 방안 발표",5,경제,noisy,0.1925,4
212,1031,ynat-v1_train_00239,"카카오뱅크, 맞춤형 금융상품 개발 위해 AI 활용 증가",5,경제,noisy,0.20188,4
213,1029,ynat-v1_train_00239,최 희 SKT 헬 비전 병 사 보다 연종합,5,경제,noisy,0.1925,4
